Temperatura,pH,O2  (mg/L),Amonio   (mg/L),TASA MORTALIDAD SI=1/NO=0
17.81,7.66,5.93,0.18,0
17.79,7.67,5.93,0.18,0
17.78,7.67,5.93,0.18,0
17.77,7.67,5.93,0.18,0
17.75,7.67,5.93,0.18,0
17.74,7.67,5.94,0.18,0
17.73,7.67,5.94,0.18,0
17.71,7.67,5.94,0.18,0
17.70,7.67,5.94,0.18,0
17.69,7.67,5.94,0.18,0
17.67,7.68,5.94,0.18,0
17.66,7.68,5.95,0.18,0
17.65,7.68,5.95,0.18,0
17.64,7.68,5.95,0.18,0
17.62,7.68,5.95,0.18,0
17.61,7.68,5.95,0.18,0
17.60,7.68,5.96,0.18,0
17.58,7.68,5.96,0.18,0
17.57,7.68,5.96,0.18,0
17.56,7.69,5.96,0.18,0
17.54,7.69,5.96,0.18,0
17.53,7.69,5.97,0.18,0
17.52,7.69,5.97,0.18,0
17.51,7.69,5.97,0.18,0
17.49,7.69,5.97,0.18,0
17.48,7.69,5.97,0.18,0
17.47,7.69,5.97,0.18,0
17.45,7.69,5.98,0.18,0
17.44,7.69,5.98,0.18,0
17.43,7.70,5.98,0.18,0
17.41,7.70,5.98,0.18,0
17.40,7.70,5.98,0.18,0
17.39,7.70,5.99,0.18,0
17.37,7.70,5.99,0.18,0
17.36,7.70,5.99,0.18,0
17.35,7.70,5.99,0.18,0
17.34,7.70,5.99,0.18,0
17.32,7.70,6.00,0.18,0
17.31,7.71,6.00,0.18,0
17.30,7.71,6.00,0.18,0
17.28,7.71,6.00,0.17,0
17.27,7.71,6.00,0.17,0
17.26,7.71,6.01,0.17,0
17.24,7.71,6.01,0.17,0
17.23,7.71,6.01,0.17,0
17.22,7.71,6.01,0.17,0
17.21,7.71,6.01,0.17,0
17.19,7.72,6.01,0.17,0
17.18,7.72,6.02,0.17,0
17.17,7.72,6.02,0.17,0
17.15,7.72,6.02,0.17,0
17.14,7.72,6.02,0.17,0
17.13,7.72,6.02,0.17,0
17.11,7.72,6.03,0.17,0
17.10,7.72,6.03,0.17,0
17.09,7.72,6.03,0.17,0
17.07,7.73,6.03,0.17,0
17.06,7.73,6.03,0.17,0
17.05,7.73,6.04,0.17,0
17.04,7.73,6.04,0.17,0
17.02,7.73,6.04,0.17,0
17.01,7.73,6.04,0.17,0
17.00,7.73,6.04,0.17,0
16.98,7.73,6.04,0.17,0
16.97,7.73,6.05,0.17,0
16.96,7.73,6.05,0.17,0
16.94,7.74,6.05,0.17,0
16.93,7.74,6.05,0.17,0
16.92,7.74,6.05,0.17,0
16.91,7.74,6.06,0.17,0
16.89,7.74,6.06,0.17,0
16.88,7.74,6.06,0.17,0
16.87,7.74,6.06,0.17,0
16.85,7.74,6.06,0.17,0
16.84,7.74,6.07,0.17,0
16.83,7.75,6.07,0.17,0
16.81,7.75,6.07,0.17,0
16.80,7.75,6.07,0.17,0
16.79,7.75,6.07,0.17,0
16.78,7.75,6.08,0.17,0
16.76,7.75,6.08,0.17,0
16.75,7.75,6.08,0.16,0
16.74,7.75,6.08,0.16,0
16.72,7.75,6.08,0.16,0
16.71,7.76,6.08,0.16,0
16.70,7.76,6.09,0.16,0
16.68,7.76,6.09,0.16,0
16.67,7.76,6.09,0.16,0
16.66,7.76,6.09,0.16,0
16.64,7.76,6.09,0.16,0
16.63,7.76,6.10,0.16,0
16.62,7.76,6.10,0.16,0
16.61,7.76,6.10,0.16,0
16.59,7.76,6.10,0.16,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.60,0
30.50,7.00,1.60,0.80,0
32.10,7.00,2.20,0.60,0
30.40,7.00,2.20,0.60,0
30.70,7.00,1.60,0.60,0
32.30,7.00,1.40,0.70,0
31.20,7.00,2.20,0.60,0
31.20,7.00,2.20,0.60,0
30.50,7.00,1.60,0.80,0
